Años ,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Anual ,Superávit 
1994,s/p ,s/p ,0.2 ,80.1 ,102.6 ,138.4 ,122.9 ,23.5 ,25.7 ,21.7 ,s/p ,7.5 ,522.6 ,-20.6
1993,4.0 ,s/p ,s/p ,44.0 ,210.0 ,126.5 ,98.6 ,34.3 ,1.5 ,27.3 ,9.4 ,5.3 ,560.9 ,-14.8
1992,s/p ,s/p ,28.2 ,46.0 ,398.2 ,377.9 ,47.4 ,102.8 ,31.3 ,3.3 ,5.3 ,0.6 ,"1,041.0 ",+58.2
1991,14.0 ,0.0 ,0.2 ,32.0 ,186.0 ,154.5 ,184.8 ,14.0 ,84.4 ,53.9 ,8.6 ,46.9 ,779.3 ,+18.4
1990,0.8 ,0.2 ,40.7 ,27.1 ,27.3 ,32.6 ,86.4 ,40.2 ,85.8 ,32.3 ,15.2 ,0.1 ,388.7 ,-40.9
1989,0.5 ,s/p ,2.0 ,2.2 ,28.8 ,64.0 ,122.1 ,125.0 ,30.1 ,20.8 ,8.0 ,17.9 ,421.4 ,-36.0
1988,s/p ,s/p ,42.0 ,24.6 ,26.0 ,108.5 ,116.3 ,93.5 ,24.8 ,7.6 ,6.8 ,0.0 ,450.1 ,-31.6
1987,s/p ,s/p ,11.5 ,14.3 ,78.0 ,40.1 ,397.5 ,150.2 ,87.3 ,29.1 ,s/p ,0.0 ,808.0 ,+22.8
1986,s/p ,2.1 ,18.8 ,86.7 ,221.0 ,216.2 ,40.7 ,117.0 ,13.1 ,11.0 ,94.1 ,s/p ,820.7 ,+24.7
1985,0.3 ,s/p ,29.9 ,25.0 ,127.1 ,26.1 ,126.5 ,6.6 ,46.7 ,71.9 ,0.2 ,s/p ,460.3 ,-30.0
1984,s/p ,1.5 ,3.0 ,22.4 ,203.7 ,135.2 ,390.3 ,108.3 ,65.2 ,47.4 ,6.7 ,s/p ,983.7 ,+49.5
1983,8.3 ,1.0 ,0.3 ,17.5 ,55.9 ,147.9 ,141.5 ,117.3 ,24.9 ,0.4 ,s/p ,0.2 ,515.2 ,-21.7
1982,3.5 ,0.0 ,29.3 ,14.7 ,168.6 ,408.8 ,208.7 ,115.1 ,186.7 ,43.9 ,2.0 ,s/p ,"1,181.3 ",+79.5
1981,2.0 ,s/p ,0.7 ,53.9 ,213.9 ,68.3 ,44.6 ,100.7 ,33.9 ,25.2 ,3.2 ,s/p ,546.4 ,-17.0
1980,s/p ,5.5 ,25.6 ,181.7 ,167.5 ,168.5 ,169.2 ,22.5 ,88.6 ,s/p ,12.8 ,10.2 ,852.1 ,+29.5
1979,s/p ,s/p ,s/p ,23.9 ,112.2 ,2.8 ,219.9 ,181.9 ,87.3 ,s/p ,44.0 ,58.2 ,730.2 ,+11.0
1978,5.4 ,0.0 ,s/p ,0.0 ,53.6 ,199.4 ,332.3 ,30.1 ,87.9 ,35.4 ,145.9 ,3.4 ,893.4 ,+35.8
1977,13.1 ,s/p ,9.9 ,37.8 ,118.6 ,194.1 ,327.2 ,103.4 ,10.3 ,77.2 ,60.6 ,s/p ,942.3 ,+43.2
